Hour,Average_Anomaly_Score
6,0.024980237154150202
7,0.010686111111111112
8,0.0007416666666666672
9,0.010369444444444443
10,-0.026680555555555555
11,0.02551111111111111
12,0.0026638888888888858
13,-0.01044444444444444
14,-0.026841666666666673
15,0.0015416666666666638
16,-0.017552777777777778
17,0.000836111111111113
18,0.015500000000000005
19,0.0005361111111111091
20,0.005097222222222223
21,-0.0034249999999999975
22,0.02510277777777778
23,0.027455555555555556
0,0.010644444444444448
1,-0.005761111111111101
2,0.003733333333333333
3,-0.01514444444444444
4,-0.005533333333333332
5,-0.07384353741496599
