hour,fault_count,total_count
0,132,3600
1,123,3600
2,132,3600
3,128,3600
4,129,3600
5,12,294
6,22,506
7,164,3600
8,131,3600
9,113,3600
10,116,3600
11,139,3600
12,122,3600
13,138,3600
14,117,3600
15,116,3600
16,120,3600
17,138,3600
18,120,3600
19,120,3600
20,123,3600
21,131,3600
22,158,3600
23,119,3600
